,Workout Date,Calories Burned (kcal),Distance (mi),Steps,Duration (min),Avg Pace (min/mi),Max Pace (min/mi),Link,Year,Month
55,2023-06-09,159,2.01809,6663,43.7,21.6542,11.4769,http://www.mapmyfitness.com/workout/7325939872,2023,6
56,2023-06-08,228,2.92367,9230,60.36666666666667,20.6475,12.9467,http://www.mapmyfitness.com/workout/7324900900,2023,6
57,2023-06-08,102,1.25405,4680,30.916666666666668,24.6534,12.834,http://www.mapmyfitness.com/workout/7323976729,2023,6
58,2023-06-07,176,2.24217,7211,47.21666666666667,21.0585,10.713,http://www.mapmyfitness.com/workout/7322895427,2023,6
59,2023-06-07,136,1.73637,5654,37.05,21.3377,7.76881,http://www.mapmyfitness.com/workout/7321935349,2023,6
60,2023-06-06,642,6.08056,9209,55.95,9.20146,6.74472,http://www.mapmyfitness.com/workout/7320392947,2023,6
61,2023-06-02,191,2.32942,6135,39.6,17.0,9.24108,http://www.mapmyfitness.com/workout/7311211630,2023,6
62,2023-06-01,209,2.68234,8294,54.166666666666664,20.1938,10.8718,http://www.mapmyfitness.com/workout/7310130037,2023,6
63,2023-06-01,118,1.4505,5385,35.56666666666667,24.5203,12.2683,http://www.mapmyfitness.com/workout/7309352623,2023,6
64,2023-05-31,104,1.2259,4875,32.31666666666667,26.3617,13.3756,http://www.mapmyfitness.com/workout/7307894566,2023,5
65,2023-05-30,185,2.01894,8868,59.06666666666667,29.2562,7.79361,http://www.mapmyfitness.com/workout/7307836768,2023,5
66,2023-05-30,108,1.35896,4736,31.166666666666668,22.9343,12.4396,http://www.mapmyfitness.com/workout/7304726827,2023,5
67,2023-05-26,142,1.68641,6565,43.46666666666667,25.7747,9.98201,http://www.mapmyfitness.com/workout/7297335997,2023,5
68,2023-05-26,144,1.4582,7449,49.93333333333333,34.2431,10.6201,http://www.mapmyfitness.com/workout/7296621241,2023,5
69,2023-05-25,252,2.1106,15370,104.25,49.3936,12.8051,http://www.mapmyfitness.com/workout/7295605885,2023,5
70,2023-05-25,142,1.79661,6005,39.416666666666664,21.9395,11.6224,http://www.mapmyfitness.com/workout/7294651543,2023,5
